objectid,service_request_id,subject,status,status_notes,service_name,service_code,agency_responsible,service_notice,requested_datetime,updated_datetime,expected_datetime,closed_datetime,address,zipcode,media_url,lat,lon
5131292,16473334,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2024-01-01T16:15:28Z,2024-05-11T15:54:02Z,2024-01-03T00:00:00Z,2024-01-03T20:57:34Z,W GIRARD AVE & N 34TH ST,19104,https://d17aqltn7cihbm.cloudfront.net/uploads/large_399f61ca44208f10e8cc551e4700038b,39.97516312161723,-75.19489864067768
5131318,16473390,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2024-01-01T18:54:19Z,2024-05-11T15:52:33Z,2024-01-03T00:00:00Z,2024-01-03T21:38:36Z,415 QUEEN ST,19147,NA,39.93770558465134,-75.15083030713431
5131600,16473868,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2024-01-02T13:57:04Z,2024-05-11T15:45:06Z,2024-01-03T00:00:00Z,2024-01-02T13:57:04Z,3124 KENSINGTON AVE,19134,NA,39.995760398710395,-75.11494516133918
5131733,16474030,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2024-01-02T14:35:45Z,2024-05-11T15:42:59Z,2024-01-03T00:00:00Z,2024-01-02T14:35:45Z,3120 KENSINGTON AVE,19134,NA,39.99570661620687,-75.1150429121967
5131822,16474152,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2024-01-02T15:00:35Z,2024-05-11T15:45:30Z,2024-01-03T00:00:00Z,2024-01-02T15:00:35Z,3832 JASPER ST,19124,NA,40.00404948879191,-75.09723372765066
5131906,16474263,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2024-01-02T15:19:09Z,2024-05-11T13:04:25Z,2024-01-03T00:00:00Z,2024-01-03T23:59:11Z,245 N 22ND ST,19103,https://d17aqltn7cihbm.cloudfront.net/uploads/large_cfeba186673394d5ee0def9d8088df26,39.95895787865035,-75.17553641402073
5132576,16475149,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2024-01-02T18:16:53Z,2024-05-11T15:42:18Z,2024-01-03T00:00:00Z,2024-01-04T00:23:10Z,2102 E CUMBERLAND ST,19125,https://d17aqltn7cihbm.cloudfront.net/uploads/large_d5c2f80159e2380f9160857ccbdd62ef,39.98354378506434,-75.126224279046
5132726,16475358,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2024-01-02T18:56:29Z,2024-05-11T16:04:48Z,2024-01-03T00:00:00Z,2024-01-02T18:56:29Z,7616 LEXINGTON AVE,19152,NA,40.04837384936828,-75.04860524009088
5132990,16475688,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2024-01-02T20:03:54Z,2024-05-11T13:07:18Z,2024-01-03T00:00:00Z,2024-01-04T00:58:44Z,2050 RICHMOND ST,19125,NA,39.97216543040202,-75.12110520906502
5133615,16476565,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2024-01-03T13:31:52Z,2024-05-11T13:08:23Z,2024-01-04T00:00:00Z,2024-01-03T23:34:43Z,RHAWN ST & E ROOSEVELT BLVD,19152,NA,40.05681911874104,-75.04700432024728
